,The Night Circus (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,8,7,9,9,8,9,,,,,,,,,,,,,,,,,,,
Total,7.75,7.5,8.25,9,8.25,8.5,0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,All That's Left In The World (Mike),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,,,,,,,,,,,,,,,,,,
Plot,8.5,8,7,8,8,9,7,,,,,,,,,,,,,,,,,,
Quality of writing,7,6,6.5,6,5,6,6,,,,,,,,,,,,,,,,,,
Character development,8.5,8.5,6,8,8.5,8,7,,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,9,7.5,8,7,6,8,7,,,,,,,,,,,,,,,,,,
Total,8.25,7.5,6.875,7.25,6.875,7.75,6.75,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Apeirogon (Nia),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,,,,,,,,,,,,,,,,,
Plot,5,4,,4,5,,,4,,,,,,,,,,,,,,,,,
Quality of writing,9,9,,7,8,,,8,,,,,,,,,,,,,,,,,
Character development,5,4,,4,8,,,7,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,5,8,,4,8,,,7,,,,,,,,,,,,,,,,,
Total,6,6.25,0,4.75,7.25,0,0,6.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,The Offing (Clare),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,,,,,,,,,,,,,,,,,
Plot,7,8,7,7,6,,8,6,,,,,,,,,,,,,,,,,
Quality of writing,7,8,8,8,8,,9,8,,,,,,,,,,,,,,,,,
Character development,9,9,9,8,8,,9,8,,,,,,,,,,,,,,,,,
Overall experience / enjoyment,9,9.5,8,8,8,,9,6,,,,,,,,,,,,,,,,,
Total,8,8.625,8,7.75,7.5,0,8.75,7,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Happiness (Duncan),,,,,,,,,,,,,,,,,,,,,,,,
,Mike,Nia,Kath,Jen,Dunc,Gareth,Clare,Fred,,,,,,,,,,,,,,,,,
